iter	Logloss
0	0.692449158
1	0.6917003006
2	0.6910683298
3	0.6902692364
4	0.6897539686
5	0.689172962
6	0.6886459238
7	0.6880405826
8	0.687554802
9	0.6867032996
10	0.6863769209
11	0.6856353111
12	0.6851553929
13	0.6844748529
14	0.6838764578
15	0.6834789398
16	0.6831199659
17	0.682488366
18	0.6818574298
19	0.6813464225
20	0.6809992454
21	0.6805310721
22	0.6802170082
23	0.6797878094
24	0.679372507
25	0.6789113226
26	0.6785659697
27	0.6778454203
28	0.6771635521
29	0.6765420639
30	0.6758725858
31	0.6753369494
32	0.6748954661
33	0.6743561554
34	0.6739756923
35	0.6735423949
36	0.6730691498
37	0.6726312655
38	0.6721679114
39	0.6718432206
40	0.671220366
41	0.6705202949
42	0.6699708398
43	0.6696898329
44	0.6693505134
45	0.6689694445
46	0.6684439187
47	0.6682724464
48	0.6678130217
49	0.6672579773
50	0.6669356532
51	0.6663854118
52	0.6659008547
53	0.6655223967
54	0.665085074
55	0.664549836
56	0.6638868969
57	0.6634321163
58	0.6629638765
59	0.6623945662
60	0.6619354246
61	0.6613995047
62	0.6610067691
63	0.6605900049
64	0.6603092563
65	0.6598137368
66	0.6592098805
67	0.6586920574
68	0.6579790634
69	0.6576020392
70	0.6568750041
71	0.6564492351
72	0.6561575263
73	0.6557510254
74	0.6553141904
75	0.6548339015
76	0.6544028367
77	0.6541127689
78	0.6536157486
79	0.6532454853
80	0.6528067955
81	0.6524198937
82	0.6520482259
83	0.6517574905
84	0.6514561735
85	0.6511255792
86	0.6507513521
87	0.6504562848
88	0.6501063652
89	0.6497615392
90	0.6493491947
91	0.6488801675
92	0.6484713729
93	0.6480711961
94	0.6476251568
95	0.647362024
96	0.6467307633
97	0.6463908244
98	0.6460893636
99	0.645713314
