iter	Passed	Remaining
0	172	17083
1	185	9070
2	196	6340
3	204	4903
4	211	4022
5	219	3437
6	227	3020
7	237	2729
8	248	2512
9	259	2334
10	268	2173
11	278	2041
12	286	1914
13	293	1804
14	301	1707
15	308	1621
16	315	1538
17	322	1466
18	329	1402
19	334	1338
20	340	1280
21	345	1224
22	350	1174
23	356	1128
24	361	1084
25	368	1047
26	374	1011
27	379	976
28	384	941
29	389	909
30	395	879
31	399	849
32	404	821
33	409	795
34	414	769
35	418	744
36	423	721
37	428	698
38	432	677
39	437	656
40	443	638
41	448	619
42	453	600
43	458	583
44	463	566
45	468	549
46	473	534
47	478	518
48	484	504
49	490	490
50	496	476
51	500	462
52	505	448
53	510	434
54	516	422
55	522	410
56	527	398
57	532	385
58	537	373
59	542	361
60	547	350
61	552	338
62	556	327
63	561	315
64	566	304
65	570	294
66	575	283
67	580	273
68	584	262
69	589	252
70	594	243
71	600	233
72	605	224
73	611	214
74	616	205
75	621	196
76	626	187
77	630	177
78	636	169
79	641	160
80	646	151
81	651	143
82	656	134
83	660	125
84	667	117
85	673	109
86	678	101
87	683	93
88	688	85
89	692	76
90	697	69
91	702	61
92	707	53
93	712	45
94	716	37
95	721	30
96	726	22
97	731	14
98	736	7
99	742	0
